current_price,investor
5500000,True
108000,True
1895000,False
592000,False
500000,False
11530000,True
6750000,True
900000,False
725000,False
375000,False
132120,False
839900,False
460000,False
1250000,False
810000,False
1500000,False
1100000,False
1500000,False
575000,False
350000,False
1030200,True
449000,False
1450000,False
2280000,False
700000,False
1050000,False
3300000,True
7100000,True
275000,False
580000,False
625000,False
975000,False
280000,False
325000,False
710000,False
667000,False
2475000,False
667000,False
2550000,True
1300000,False
1171000,False
3100000,False
900000,False
485000,False
175000,True
1460000,False
2150000,False
710000,False
394725,False
375000,False
483000,False
1350000,False
1075000,False
875000,False
400000,False
4200000,True
2250000,False
1195000,False
3550000,True
1460000,False
1880000,True
850000,False
4400000,True
2800000,True
700000,False
420000,False
740000,True
3200000,True
3200000,True
3200000,True
3200000,True
3200000,True
3200000,True
800000,False
425000,False
725000,False
825000,True
628000,False
675000,False
9900000,True
9900000,True
1056250,False
1750000,False
550000,True
125000,False
1365000,False
310000,False
1800000,False
225000,False
1060000,False
935000,False
800000,False
500000,False
1190000,False
375000,False
150000,False
1052000,True
700400,True
350000,False
200000,False
620000,False
1032500,True
810000,False
290000000,True
1030000,False
265000,True
1600000,False
925000,False
2800000,True
450000,True
175000,True
4000000,True
3070000,True
3070000,True
929000,False
800000,False
845000,False
2040000,True
1502000,False
517500,False
790000,False
705000,True
900000,False
800000,True
3800000,True
1300000,False
1030000,False
430000,False
270000,False
1800000,False
1500000,False
2325000,False
705000,False
900000,False
810000,False
582500,True
355555,True
762500,False
685000,False
789000,False
500000,False
400000,False
1799000,True
1200000,False
1400000,False
650000,False
1050000,False
1015000,True
707000,False
640000,False
850000,False
625000,False
810000,False
2860000,False
980000,False
450000,False
808500,False
808500,False
430000,False
1000000,False
1085000,True
1650000,False
1400000,False
570000,False
1150000,True
875000,True
1200000,False
1400000,False
1250000,False
2300000,False
875000,False
390000,True
1450000,False
500000,False
2500000,False
509000,False
1150000,False
1100000,False
2000000,False
2780000,False
115000,True
575000,False
1500000,True
2300000,True
6100000,True
7500000,True
2800000,True
675000,False
1885000,False
1049000,True
320000,False
908000,False
575000,False
765000,False
1900000,False
2050000,True
1650000,True
3450000,True
560000,False
625000,False
1610000,False
476000,False
2318000,False
400000,False
3400000,True
3400000,True
4430000,True
1675000,True
3900000,True
1075000,False
540000,False
555000,False
635000,False
1175000,False
435000,False
825000,False
349000,True
775000,False
590000,False
2000000,True
2000000,True
420000,False
650000,False
603000,False
401000,True
330000,False
415000,False
640000,False
1170000,False
810000,False
375000,False
650000,False
699000,False
3250000,True
3250000,True
600000,False
1200000,False
896000,False
975000,True
335000,False
450000,False
385000,False
1550000,False
750000,False
520000,False
1900000,False
1210000,False
430000,False
1425000,False
830000,False
380000,False
1127000,False
320000,True
3600000,True
52900000,True
760000,False
2150000,True
4400000,True
3900000,True
900000,False
620000,False
912500,False
610000,False
2500000,False
600000,True
2125000,True
735000,False
400000,False
1700000,False
180000,False
1075000,False
1500000,False
360000,False
503500,False
1060000,False
900000,True
753500,False
180000,False
390000,False
1555000,False
5025000,True
400000,False
1120000,False
329000,False
725000,False
290000,False
1870000,False
457000,False
850000,True
3300000,True
1450000,False
111000,False
131000,False
610000,False
1450000,False
3180000,False
170000,False
1060000,False
525000,False
3800000,True
1700000,True
750000,True
710000,False
3000000,False
1785000,True
915000,False
600000,False
359000,True
1850000,False
265000,False
2000000,False
1050000,False
749900,False
668000,True
590000,False
490000,False
915000,False
382500,False
270000,False
750000,False
1060000,False
13500000,True
2446000,False
1425000,False
252750,True
1050000,False
610000,False
968000,False
1210000,True
2050000,False
630000,False
575000,False
675000,False
1000000,False
1100000,True
3800000,True
3800000,True
3800000,True
3800000,True
600000,False
2150000,True
312000,True
1250000,False
1800000,False
2675000,False
650000,False
2600000,False
14800000,True
400000,False
1235000,False
730000,False
1375000,False
1200000,True
300000,False
1122500,False
322500,False
315000,False
4800000,True
1000000,False
1175000,False
1225000,False
950000,False
1000000,False
925000,False
841000,True
347000,False
3850000,True
850000,True
390000,False
2600000,True
