current_price,previous_price,investor,year_diff
108000,199000,True,19.04996577686516
1895000,1595000,False,12.172484599589323
592000,255000,False,21.059548254620122
500000,345000,False,7.222450376454483
11530000,10600000,True,2.4914442162902124
6750000,150000,True,5.401779603011636
900000,977500,False,0.6680355920602327
839900,1260000,False,3.156741957563313
460000,444000,False,11.129363449691992
1500000,750000,False,11.137577002053389
350000,196000,False,20.27652292950034
1030200,635000,True,5.388090349075975
449000,310000,False,6.12457221081451
2280000,450000,False,0.2053388090349076
700000,605000,False,6.9048596851471595
7100000,3725000,True,3.0691307323750854
275000,200000,False,9.579739904175222
975000,589500,False,2.16290212183436
280000,3250000,False,1.4154688569472964
710000,379900,False,2.8227241615331966
667000,600000,False,4.561259411362081
2475000,1530000,False,8.739219712525667
667000,500000,False,1.88911704312115
2550000,286500,True,13.872689938398358
1300000,600000,False,0.8021902806297057
3100000,3380000,False,5.637234770704997
485000,387000,False,4.079397672826831
175000,190000,True,4.271047227926078
2150000,351000,False,16.197125256673512
375000,200000,False,22.245037645448324
483000,325000,False,19.222450376454482
875000,444900,False,9.44558521560575
400000,299900,False,3.6276522929500343
2250000,1750000,False,16.865160848733744
1195000,1990000,False,1.7357973990417521
1880000,1500000,True,10.173853524982889
4400000,1695000,True,13.174537987679672
700000,499900,False,16.424366872005475
420000,180000,False,19.67419575633128
740000,850000,True,1.0841889117043122
3200000,304000,True,19.926078028747433
825000,735000,True,0.3723477070499658
550000,450000,True,1.0924024640657084
1800000,1375000,False,7.789185489390828
1060000,532500,False,16.10403832991102
935000,611000,False,6.847364818617385
500000,186000,False,21.971252566735114
375000,245500,False,6.9486652977412735
700400,600000,True,1.8316221765913758
350000,660000,False,0.9007529089664613
620000,485000,False,3.1266255989048597
1032500,615000,True,5.618069815195072
810000,584000,False,2.0314852840520192
290000000,106000000,True,2.513347022587269
265000,220000,True,1.1389459274469542
925000,1030000,False,15.592060232717317
2800000,710000,True,0.6050650239561944
929000,346000,False,22.34360027378508
2040000,519000,True,0.6324435318275154
517500,439000,False,5.330595482546201
790000,605000,False,3.5181382614647503
705000,1600000,True,1.5578370978781657
900000,540000,False,1.5304585900068446
3800000,375000,True,14.844626967830253
1030000,310000,False,20.046543463381244
270000,310000,False,2.116358658453114
1800000,3900000,False,0.917180013689254
1500000,935000,False,21.388090349075977
900000,865000,False,15.698836413415469
810000,590000,False,14.8145106091718
582500,400500,True,0.10130047912388775
355555,310000,True,0.008213552361396304
789000,720000,False,3.575633127994524
1799000,1600000,True,4.985626283367557
1400000,450000,False,16.93908281998631
1050000,325000,False,7.3319644079397674
1015000,900000,True,0.0027378507871321013
707000,347000,False,18.72416153319644
640000,266400,False,10.940451745379876
625000,100000,False,2.625598904859685
2860000,3300000,False,15.989048596851472
808500,808500,False,0.01642710472279261
1085000,940000,True,5.618069815195072
1150000,630000,True,1.8863791923340179
875000,575000,True,0.5612594113620808
390000,270000,True,0.1806981519507187
1450000,610000,False,5.0102669404517455
500000,614000,False,2.6830937713894594
2780000,2585000,False,0.3887748117727584
1500000,686000,True,6.72416153319644
2300000,1925000,True,0.2518822724161533
6100000,4665000,True,7.041752224503765
7500000,4200000,True,10.896646132785763
2800000,1527500,True,17.234770704996578
1049000,870000,True,4.041067761806982
320000,422500,False,8.83230663928816
1900000,360000,False,8.37782340862423
1650000,650000,True,7.559206023271732
560000,465000,False,1.1745379876796715
400000,230000,False,7.12662559890486
3400000,1160000,True,13.10609171800137
4430000,2500000,True,1.1882272416153319
1675000,625000,True,13.552361396303901
1075000,570000,False,18.921286789869953
540000,270000,False,9.207392197125257
555000,315000,False,17.36892539356605
635000,410000,False,4.917180013689254
825000,485000,False,14.568104038329912
775000,500000,False,1.9548254620123204
590000,485000,False,6.102669404517454
2000000,1237500,True,6.639288158795345
420000,550000,False,1.4674880219028064
650000,803000,False,1.3689253935660506
603000,515000,False,2.8829568788501025
401000,1267500,True,0.5393566050650239
330000,210000,False,13.645448323066393
415000,325000,False,16.227241615331966
1170000,270000,False,8.008213552361397
810000,810000,False,0.7255304585900069
3250000,225000,True,21.61806981519507
3250000,705000,True,3.263518138261465
1200000,310000,False,6.674880219028063
896000,768000,False,1.0622861054072552
975000,740000,True,1.379876796714579
335000,168000,False,22.034223134839152
450000,784000,False,4.043805612594114
520000,505000,False,2.004106776180698
430000,420000,False,4.339493497604381
1425000,365000,False,1.5578370978781657
830000,600000,False,0.44353182751540043
1127000,645000,False,6.0889801505817935
52900000,50150000,True,7.2498288843258045
4400000,1466000,True,1.5277207392197125
3900000,257500,True,8.596851471594798
900000,557500,False,1.5906913073237507
610000,375000,False,7.57015742642026
600000,430000,True,0.9089664613278576
2125000,475000,True,21.256673511293634
735000,615000,False,15.137577002053389
400000,800000,False,1.1772758384668036
1700000,665000,False,3.9288158795345653
1500000,1000000,False,18.28062970568104
360000,400000,False,0.5804243668720055
503500,493500,False,10.182067077344286
900000,610250,True,2.083504449007529
5025000,4325000,True,18.04243668720055
400000,281250,False,6.811772758384668
290000,240000,False,9.35523613963039
850000,500000,True,1.8316221765913758
3300000,2650000,True,0.09308692676249145
1450000,495000,False,3.2580424366872007
170000,126900,False,16.706365503080082
525000,3000000,False,0.8815879534565366
3800000,1800000,True,1.0677618069815196
1700000,349900,True,12.525667351129364
750000,165000,True,10.464065708418891
3000000,3351000,False,0.12046543463381246
915000,454400,False,7.646817248459959
600000,585000,False,4.175222450376454
359000,236500,True,5.212867898699521
1850000,1161500,False,7.345653661875428
265000,730000,False,3.167693360711841
2000000,575000,False,6.899383983572895
